Geo_ID;Geo_Einheit;T_ProzentBasis;T_absolut;T_P;M_ProzentBasis;M_absolut;M_P;W_ProzentBasis;W_absolut;W_P
 241 ; Jura bernois ;1819;1323;73%;928;639;69%;891;685;77%
 242 ; Biel/Bienne, Kreis ;2910;1729;59%;1484;837;56%;1426;892;63%
 243 ; Seeland, Bern ;2126;1287;61%;1084;602;56%;1042;689;66%
 244 ; Oberaargau ;2280;1268;56%;1163;584;50%;1117;687;61%
 245 ; Emmental ;2913;1544;53%;1486;700;47%;1427;846;59%
 246 ; Bern-Mittelland ;10875;6869;63%;5546;3298;59%;5329;3571;67%
 247 ; Thun, Kreis ;2922;1833;63%;1490;872;58%;1432;959;67%
 248 ; Obersimmental-Saanen ;413;232;56%;211;101;48%;202;132;65%
 249 ; Frutigen-Niedersimmental ;1137;656;58%;580;286;49%;557;367;66%
 250 ; Interlaken-Oberhasli ;1187;677;57%;605;287;47%;582;394;68%
